observation_date,SPDYNTFRTINKOR
1970-01-01,4.530
1971-01-01,4.540
1972-01-01,4.120
1973-01-01,4.070
1974-01-01,3.770
1975-01-01,3.430
1976-01-01,3.000
1977-01-01,2.990
1978-01-01,2.640
1979-01-01,2.900
1980-01-01,2.820
1981-01-01,2.570
1982-01-01,2.390
1983-01-01,2.060
1984-01-01,1.740
1985-01-01,1.660
1986-01-01,1.580
1987-01-01,1.530
1988-01-01,1.550
1989-01-01,1.560
1990-01-01,1.570
1991-01-01,1.710
1992-01-01,1.760
1993-01-01,1.654
1994-01-01,1.656
1995-01-01,1.634
1996-01-01,1.574
1997-01-01,1.537
1998-01-01,1.464
1999-01-01,1.425
2000-01-01,1.480
2001-01-01,1.309
2002-01-01,1.178
2003-01-01,1.191
2004-01-01,1.164
2005-01-01,1.085
2006-01-01,1.132
2007-01-01,1.259
2008-01-01,1.192
2009-01-01,1.149
2010-01-01,1.226
2011-01-01,1.244
2012-01-01,1.297
2013-01-01,1.187
2014-01-01,1.205
2015-01-01,1.239
2016-01-01,1.172
2017-01-01,1.052
2018-01-01,0.977
2019-01-01,0.918
2020-01-01,0.837
2021-01-01,0.808
2022-01-01,0.778
